"","Zhejiang","Reunion","Surabaya","Mekong Delta","Tahiti","French Polynesia","East Timor","Mekong Delta","Aragua","Bangkok","Bangkok","Kamphaeng Phet","Bangkok","Ivory Coast","Jeddah","Hawaii","Hyderabad","Goias","Surabaya","Surabaya","Dhaka","Karachi","East Timor","Bangkok","Bangkok","Surabaya","Bali","Jakarta","Bali"
"Zhejiang",0,81.5728714547982,37.0730717366498,23.7795510281651,273.251243962405,273.237265967654,39.2680142849231,23.7795510281651,188.027056931499,24.6718942090354,24.6718942090354,23.8949416941124,24.6718942090354,127.183904498179,80.93357968941,275.526849048403,42.9429131954163,175.484680794602,37.0730717366498,37.0730717366498,29.8562581331796,52.952255028289,39.2680142849231,24.6718942090354,24.6718942090354,37.0730717366498,37.8318618813296,37.6071784083473,37.8318618813296
"Reunion",81.5728714547982,0,58.869956781283,58.9737055850899,204.991699693912,204.972018235326,69.7088193727481,58.9737055850899,126.758198224822,56.9025926469148,56.9025926469148,57.8653288522743,56.9025926469148,67.470779227427,45.4253058569908,215.065754364263,44.8216456460112,105.505215503645,58.869956781283,58.869956781283,56.8739206845713,47.3866067740543,69.7088193727481,56.9025926469148,56.9025926469148,58.869956781283,60.9906339933551,53.4587261512902,60.9906339933551
"Surabaya",37.0730717366498,58.869956781283,0,18.7415234049372,262.384061659723,262.366020998138,11.8684348367267,18.7415234049372,180.884312496786,24.3238633161294,24.3238633161294,27.1775141670142,24.3238633161294,119.221047091354,78.8611638090394,269.705311698482,42.2063077350399,162.813994003275,0,0,38.2657135813457,55.8924875864413,11.8684348367267,24.3238633161294,24.3238633161294,0,2.69542927846274,5.98572057952533,2.69542927846274
"Mekong Delta",23.7795510281651,58.9737055850899,18.7415234049372,0,256.521882358739,256.505911422013,27.351701842004,0,172.879207887974,6.2906532888375,6.2906532888375,8.83595912419536,6.2906532888375,111.170060669323,67.2990162762652,261.362170452039,28.0790431856379,157.572118618899,18.7415234049372,18.7415234049372,20.4808895425445,41.3248068754476,27.351701842004,6.2906532888375,6.2906532888375,18.7415234049372,20.8159370843056,16.2881148584086,20.8159370843056
"Tahiti",273.251243962405,204.991699693912,262.384061659723,256.521882358739,0,0.0346315166728122,273.867838415381,256.521882358739,86.7444811770733,251.893477862148,251.893477862148,251.277867313046,251.893477862148,146.067578901098,192.639530590575,38.0491017654759,230.589946725733,99.6065182439561,262.384061659723,262.384061659723,243.39591273223,220.571612919595,273.867838415381,251.893477862148,251.893477862148,262.384061659723,264.776282086681,256.547876060937,264.776282086681
"French Polynesia",273.237265967654,204.972018235326,262.366020998138,256.505911422013,0.0346315166728122,0,273.849468294286,256.505911422013,86.7355717651298,251.878024213812,251.878024213812,251.262763368766,251.878024213812,146.053641659934,192.626556029156,38.0806537308121,230.575351979551,99.587854399887,262.366020998138,262.366020998138,243.381906063162,220.558331285524,273.849468294286,251.878024213812,251.878024213812,262.366020998138,264.758102307567,256.529987170212,264.758102307567
"East Timor",39.2680142849231,69.7088193727481,11.8684348367267,27.351701842004,273.867838415381,273.849468294286,0,27.351701842004,192.666544658194,33.5514121919444,33.5514121919444,36.1876324282186,33.5514121919444,131.038856819801,90.6151850011985,281.491344588624,53.3305779764327,174.269350939728,11.8684348367267,11.8684348367267,47.7948254383993,67.0185216218701,0,33.5514121919444,33.5514121919444,11.8684348367267,9.25690979028716,17.8510522216447,9.25690979028716
"Mekong Delta",23.7795510281651,58.9737055850899,18.7415234049372,0,256.521882358739,256.505911422013,27.351701842004,0,172.879207887974,6.2906532888375,6.2906532888375,8.83595912419536,6.2906532888375,111.170060669323,67.2990162762652,261.362170452039,28.0790431856379,157.572118618899,18.7415234049372,18.7415234049372,20.4808895425445,41.3248068754476,27.351701842004,6.2906532888375,6.2906532888375,18.7415234049372,20.8159370843056,16.2881148584086,20.8159370843056
"Aragua",188.027056931499,126.758198224822,180.884312496786,172.879207887974,86.7444811770733,86.7355717651298,192.666544658194,172.879207887974,0,167.823576805265,167.823576805265,166.924551475664,167.823576805265,61.7963412557608,107.094357261773,88.825427879535,145.946887164926,31.3606500103044,180.884312496786,180.884312496786,158.280857171096,135.089283654012,192.666544658194,167.823576805265,167.823576805265,180.884312496786,183.423371797415,174.920934155639,183.423371797415
"Bangkok",24.6718942090354,56.9025926469148,24.3238633161294,6.2906532888375,251.893477862148,251.878024213812,33.5514121919444,6.2906532888375,167.823576805265,0,0,2.8969236918466,0,106.230882767967,61.7251241266578,256.158154480102,22.3121475208902,153.221038133864,24.3238633161294,24.3238633161294,14.2434491309447,35.2849312044052,33.5514121919444,0,0,24.3238633161294,26.5901720594407,20.922561923433,26.5901720594407
"Bangkok",24.6718942090354,56.9025926469148,24.3238633161294,6.2906532888375,251.893477862148,251.878024213812,33.5514121919444,6.2906532888375,167.823576805265,0,0,2.8969236918466,0,106.230882767967,61.7251241266578,256.158154480102,22.3121475208902,153.221038133864,24.3238633161294,24.3238633161294,14.2434491309447,35.2849312044052,33.5514121919444,0,0,24.3238633161294,26.5901720594407,20.922561923433,26.5901720594407
"Kamphaeng Phet",23.8949416941124,57.8653288522743,27.1775141670142,8.83595912419536,251.277867313046,251.262763368766,36.1876324282186,8.83595912419536,166.924551475664,2.8969236918466,2.8969236918466,0,2.8969236918466,105.449628492524,60.4761097085448,255.128286666712,21.0553316199077,152.813615011849,27.1775141670142,27.1775141670142,11.691353192782,33.5749828836114,36.1876324282186,2.8969236918466,2.8969236918466,27.1775141670142,29.4118683606802,23.8178605352874,29.4118683606802
"Bangkok",24.6718942090354,56.9025926469148,24.3238633161294,6.2906532888375,251.893477862148,251.878024213812,33.5514121919444,6.2906532888375,167.823576805265,0,0,2.8969236918466,0,106.230882767967,61.7251241266578,256.158154480102,22.3121475208902,153.221038133864,24.3238633161294,24.3238633161294,14.2434491309447,35.2849312044052,33.5514121919444,0,0,24.3238633161294,26.5901720594407,20.922561923433,26.5901720594407
"Ivory Coast",127.183904498179,67.470779227427,119.221047091354,111.170060669323,146.067578901098,146.053641659934,131.038856819801,111.170060669323,61.7963412557608,106.230882767967,106.230882767967,105.449628492524,106.230882767967,0,46.8465543522985,150.543687205372,84.6084890249378,50.0754046323195,119.221047091354,119.221047091354,97.3291761439044,74.5959409818113,131.038856819801,106.230882767967,106.230882767967,119.221047091354,121.784923111505,113.245699923053,121.784923111505
"Jeddah",80.93357968941,45.4253058569908,78.8611638090394,67.2990162762652,192.639530590575,192.626556029156,90.6151850011985,67.2990162762652,107.094357261773,61.7251241266578,61.7251241266578,60.4761097085448,61.7251241266578,46.8465543522985,0,194.825281413498,39.4424425399268,96.4959623809477,78.8611638090394,78.8611638090394,51.2372182711127,28.0016734092108,90.6151850011985,61.7251241266578,61.7251241266578,78.8611638090394,81.5499750582104,72.9901172681967,81.5499750582104
"Hawaii",275.526849048403,215.065754364263,269.705311698482,261.362170452039,38.0491017654759,38.0806537308121,281.491344588624,261.362170452039,88.825427879535,256.158154480102,256.158154480102,255.128286666712,256.158154480102,150.543687205372,194.825281413498,0,234.082928643892,111.617761390937,269.705311698482,269.705311698482,246.026428600998,222.648079871536,281.491344588624,256.158154480102,256.158154480102,269.705311698482,272.247236980255,263.739647443658,272.247236980255
"Hyderabad",42.9429131954163,44.8216456460112,42.2063077350399,28.0790431856379,230.589946725733,230.575351979551,53.3305779764327,28.0790431856379,145.946887164926,22.3121475208902,22.3121475208902,21.0553316199077,22.3121475208902,84.6084890249378,39.4424425399268,234.082928643892,0,132.551150964054,42.2063077350399,42.2063077350399,13.5465920044682,13.6971606945311,53.3305779764327,22.3121475208902,22.3121475208902,42.2063077350399,44.8599398850917,36.8837722477719,44.8599398850917
"Goias",175.484680794602,105.505215503645,162.813994003275,157.572118618899,99.6065182439561,99.587854399887,174.269350939728,157.572118618899,31.3606500103044,153.221038133864,153.221038133864,152.813615011849,153.221038133864,50.0754046323195,96.4959623809477,111.617761390937,132.551150964054,0,162.813994003275,162.813994003275,145.742343160105,123.727845087462,174.269350939728,153.221038133864,153.221038133864,162.813994003275,165.191756218655,156.998234325608,165.191756218655
"Surabaya",37.0730717366498,58.869956781283,0,18.7415234049372,262.384061659723,262.366020998138,11.8684348367267,18.7415234049372,180.884312496786,24.3238633161294,24.3238633161294,27.1775141670142,24.3238633161294,119.221047091354,78.8611638090394,269.705311698482,42.2063077350399,162.813994003275,0,0,38.2657135813457,55.8924875864413,11.8684348367267,24.3238633161294,24.3238633161294,0,2.69542927846274,5.98572057952533,2.69542927846274
"Surabaya",37.0730717366498,58.869956781283,0,18.7415234049372,262.384061659723,262.366020998138,11.8684348367267,18.7415234049372,180.884312496786,24.3238633161294,24.3238633161294,27.1775141670142,24.3238633161294,119.221047091354,78.8611638090394,269.705311698482,42.2063077350399,162.813994003275,0,0,38.2657135813457,55.8924875864413,11.8684348367267,24.3238633161294,24.3238633161294,0,2.69542927846274,5.98572057952533,2.69542927846274
"Dhaka",29.8562581331796,56.8739206845713,38.2657135813457,20.4808895425445,243.39591273223,243.381906063162,47.7948254383993,20.4808895425445,158.280857171096,14.2434491309447,14.2434491309447,11.691353192782,14.2434491309447,97.3291761439044,51.2372182711127,246.026428600998,13.5465920044682,145.742343160105,38.2657135813457,38.2657135813457,0,23.426173238285,47.7948254383993,14.2434491309447,14.2434491309447,38.2657135813457,40.644662798868,34.2025173394126,40.644662798868
"Karachi",52.952255028289,47.3866067740543,55.8924875864413,41.3248068754476,220.571612919595,220.558331285524,67.0185216218701,41.3248068754476,135.089283654012,35.2849312044052,35.2849312044052,33.5749828836114,35.2849312044052,74.5959409818113,28.0016734092108,222.648079871536,13.6971606945311,123.727845087462,55.8924875864413,55.8924875864413,23.426173238285,0,67.0185216218701,35.2849312044052,35.2849312044052,55.8924875864413,58.5505931156852,50.5143332702012,58.5505931156852
"East Timor",39.2680142849231,69.7088193727481,11.8684348367267,27.351701842004,273.867838415381,273.849468294286,0,27.351701842004,192.666544658194,33.5514121919444,33.5514121919444,36.1876324282186,33.5514121919444,131.038856819801,90.6151850011985,281.491344588624,53.3305779764327,174.269350939728,11.8684348367267,11.8684348367267,47.7948254383993,67.0185216218701,0,33.5514121919444,33.5514121919444,11.8684348367267,9.25690979028716,17.8510522216447,9.25690979028716
"Bangkok",24.6718942090354,56.9025926469148,24.3238633161294,6.2906532888375,251.893477862148,251.878024213812,33.5514121919444,6.2906532888375,167.823576805265,0,0,2.8969236918466,0,106.230882767967,61.7251241266578,256.158154480102,22.3121475208902,153.221038133864,24.3238633161294,24.3238633161294,14.2434491309447,35.2849312044052,33.5514121919444,0,0,24.3238633161294,26.5901720594407,20.922561923433,26.5901720594407
"Bangkok",24.6718942090354,56.9025926469148,24.3238633161294,6.2906532888375,251.893477862148,251.878024213812,33.5514121919444,6.2906532888375,167.823576805265,0,0,2.8969236918466,0,106.230882767967,61.7251241266578,256.158154480102,22.3121475208902,153.221038133864,24.3238633161294,24.3238633161294,14.2434491309447,35.2849312044052,33.5514121919444,0,0,24.3238633161294,26.5901720594407,20.922561923433,26.5901720594407
"Surabaya",37.0730717366498,58.869956781283,0,18.7415234049372,262.384061659723,262.366020998138,11.8684348367267,18.7415234049372,180.884312496786,24.3238633161294,24.3238633161294,27.1775141670142,24.3238633161294,119.221047091354,78.8611638090394,269.705311698482,42.2063077350399,162.813994003275,0,0,38.2657135813457,55.8924875864413,11.8684348367267,24.3238633161294,24.3238633161294,0,2.69542927846274,5.98572057952533,2.69542927846274
"Bali",37.8318618813296,60.9906339933551,2.69542927846274,20.8159370843056,264.776282086681,264.758102307567,9.25690979028716,20.8159370843056,183.423371797415,26.5901720594407,26.5901720594407,29.4118683606802,26.5901720594407,121.784923111505,81.5499750582104,272.247236980255,44.8599398850917,165.191756218655,2.69542927846274,2.69542927846274,40.644662798868,58.5505931156852,9.25690979028716,26.5901720594407,26.5901720594407,2.69542927846274,0,8.61855545923754,0
"Jakarta",37.6071784083473,53.4587261512902,5.98572057952533,16.2881148584086,256.547876060937,256.529987170212,17.8510522216447,16.2881148584086,174.920934155639,20.922561923433,20.922561923433,23.8178605352874,20.922561923433,113.245699923053,72.9901172681967,263.739647443658,36.8837722477719,156.998234325608,5.98572057952533,5.98572057952533,34.2025173394126,50.5143332702012,17.8510522216447,20.922561923433,20.922561923433,5.98572057952533,8.61855545923754,0,8.61855545923754
"Bali",37.8318618813296,60.9906339933551,2.69542927846274,20.8159370843056,264.776282086681,264.758102307567,9.25690979028716,20.8159370843056,183.423371797415,26.5901720594407,26.5901720594407,29.4118683606802,26.5901720594407,121.784923111505,81.5499750582104,272.247236980255,44.8599398850917,165.191756218655,2.69542927846274,2.69542927846274,40.644662798868,58.5505931156852,9.25690979028716,26.5901720594407,26.5901720594407,2.69542927846274,0,8.61855545923754,0
