"","2001","2007","1956","2014","1997","1995","1991","2003","2008","2002","1995","1944","2008","1972","2013","2013","1998","2009","1971","2016","1981","2004","2007","2014","2007","2009","2006","2007","2008","2008","1986","2011","2006","2009","2002","2001","1998","2000","2007","1981","2012","1996","1971","2001","1998","2005","1960","1980","1969","1964","2012","2007","2008","2002","1966","1999","1974","1970","1990","2006","1975","1994","2000","1984","2013","1997","2004","2008","1966","2008","2005","1989","2013","1994","2012","2005","2009","1978","1975","2014","1997","1961","1979"
"2012",11,5,56,2,15,17,21,9,4,10,17,68,4,40,1,1,14,3,41,4,31,8,5,2,5,3,6,5,4,4,26,1,6,3,10,11,14,12,5,31,0,16,41,11,14,7,52,32,43,48,0,5,4,10,46,13,38,42,22,6,37,18,12,28,1,15,8,4,46,4,7,23,1,18,0,7,3,34,37,2,15,51,33
"1996",5,11,40,18,1,1,5,7,12,6,1,52,12,24,17,17,2,13,25,20,15,8,11,18,11,13,10,11,12,12,10,15,10,13,6,5,2,4,11,15,16,0,25,5,2,9,36,16,27,32,16,11,12,6,30,3,22,26,6,10,21,2,4,12,17,1,8,12,30,12,9,7,17,2,16,9,13,18,21,18,1,35,17
"1971",30,36,15,43,26,24,20,32,37,31,24,27,37,1,42,42,27,38,0,45,10,33,36,43,36,38,35,36,37,37,15,40,35,38,31,30,27,29,36,10,41,25,0,30,27,34,11,9,2,7,41,36,37,31,5,28,3,1,19,35,4,23,29,13,42,26,33,37,5,37,34,18,42,23,41,34,38,7,4,43,26,10,8
"2001",0,6,45,13,4,6,10,2,7,1,6,57,7,29,12,12,3,8,30,15,20,3,6,13,6,8,5,6,7,7,15,10,5,8,1,0,3,1,6,20,11,5,30,0,3,4,41,21,32,37,11,6,7,1,35,2,27,31,11,5,26,7,1,17,12,4,3,7,35,7,4,12,12,7,11,4,8,23,26,13,4,40,22
"1998",3,9,42,16,1,3,7,5,10,4,3,54,10,26,15,15,0,11,27,18,17,6,9,16,9,11,8,9,10,10,12,13,8,11,4,3,0,2,9,17,14,2,27,3,0,7,38,18,29,34,14,9,10,4,32,1,24,28,8,8,23,4,2,14,15,1,6,10,32,10,7,9,15,4,14,7,11,20,23,16,1,37,19
"2005",4,2,49,9,8,10,14,2,3,3,10,61,3,33,8,8,7,4,34,11,24,1,2,9,2,4,1,2,3,3,19,6,1,4,3,4,7,5,2,24,7,9,34,4,7,0,45,25,36,41,7,2,3,3,39,6,31,35,15,1,30,11,5,21,8,8,1,3,39,3,0,16,8,11,7,0,4,27,30,9,8,44,26
"1960",41,47,4,54,37,35,31,43,48,42,35,16,48,12,53,53,38,49,11,56,21,44,47,54,47,49,46,47,48,48,26,51,46,49,42,41,38,40,47,21,52,36,11,41,38,45,0,20,9,4,52,47,48,42,6,39,14,10,30,46,15,34,40,24,53,37,44,48,6,48,45,29,53,34,52,45,49,18,15,54,37,1,19
"1980",21,27,24,34,17,15,11,23,28,22,15,36,28,8,33,33,18,29,9,36,1,24,27,34,27,29,26,27,28,28,6,31,26,29,22,21,18,20,27,1,32,16,9,21,18,25,20,0,11,16,32,27,28,22,14,19,6,10,10,26,5,14,20,4,33,17,24,28,14,28,25,9,33,14,32,25,29,2,5,34,17,19,1
"1969",32,38,13,45,28,26,22,34,39,33,26,25,39,3,44,44,29,40,2,47,12,35,38,45,38,40,37,38,39,39,17,42,37,40,33,32,29,31,38,12,43,27,2,32,29,36,9,11,0,5,43,38,39,33,3,30,5,1,21,37,6,25,31,15,44,28,35,39,3,39,36,20,44,25,43,36,40,9,6,45,28,8,10
"1964",37,43,8,50,33,31,27,39,44,38,31,20,44,8,49,49,34,45,7,52,17,40,43,50,43,45,42,43,44,44,22,47,42,45,38,37,34,36,43,17,48,32,7,37,34,41,4,16,5,0,48,43,44,38,2,35,10,6,26,42,11,30,36,20,49,33,40,44,2,44,41,25,49,30,48,41,45,14,11,50,33,3,15
"2012",11,5,56,2,15,17,21,9,4,10,17,68,4,40,1,1,14,3,41,4,31,8,5,2,5,3,6,5,4,4,26,1,6,3,10,11,14,12,5,31,0,16,41,11,14,7,52,32,43,48,0,5,4,10,46,13,38,42,22,6,37,18,12,28,1,15,8,4,46,4,7,23,1,18,0,7,3,34,37,2,15,51,33
"2007",6,0,51,7,10,12,16,4,1,5,12,63,1,35,6,6,9,2,36,9,26,3,0,7,0,2,1,0,1,1,21,4,1,2,5,6,9,7,0,26,5,11,36,6,9,2,47,27,38,43,5,0,1,5,41,8,33,37,17,1,32,13,7,23,6,10,3,1,41,1,2,18,6,13,5,2,2,29,32,7,10,46,28
"2008",7,1,52,6,11,13,17,5,0,6,13,64,0,36,5,5,10,1,37,8,27,4,1,6,1,1,2,1,0,0,22,3,2,1,6,7,10,8,1,27,4,12,37,7,10,3,48,28,39,44,4,1,0,6,42,9,34,38,18,2,33,14,8,24,5,11,4,0,42,0,3,19,5,14,4,3,1,30,33,6,11,47,29
"2002",1,5,46,12,5,7,11,1,6,0,7,58,6,30,11,11,4,7,31,14,21,2,5,12,5,7,4,5,6,6,16,9,4,7,0,1,4,2,5,21,10,6,31,1,4,3,42,22,33,38,10,5,6,0,36,3,28,32,12,4,27,8,2,18,11,5,2,6,36,6,3,13,11,8,10,3,7,24,27,12,5,41,23
"1966",35,41,10,48,31,29,25,37,42,36,29,22,42,6,47,47,32,43,5,50,15,38,41,48,41,43,40,41,42,42,20,45,40,43,36,35,32,34,41,15,46,30,5,35,32,39,6,14,3,2,46,41,42,36,0,33,8,4,24,40,9,28,34,18,47,31,38,42,0,42,39,23,47,28,46,39,43,12,9,48,31,5,13
"1999",2,8,43,15,2,4,8,4,9,3,4,55,9,27,14,14,1,10,28,17,18,5,8,15,8,10,7,8,9,9,13,12,7,10,3,2,1,1,8,18,13,3,28,2,1,6,39,19,30,35,13,8,9,3,33,0,25,29,9,7,24,5,1,15,14,2,5,9,33,9,6,10,14,5,13,6,10,21,24,15,2,38,20
"1974",27,33,18,40,23,21,17,29,34,28,21,30,34,2,39,39,24,35,3,42,7,30,33,40,33,35,32,33,34,34,12,37,32,35,28,27,24,26,33,7,38,22,3,27,24,31,14,6,5,10,38,33,34,28,8,25,0,4,16,32,1,20,26,10,39,23,30,34,8,34,31,15,39,20,38,31,35,4,1,40,23,13,5
"1970",31,37,14,44,27,25,21,33,38,32,25,26,38,2,43,43,28,39,1,46,11,34,37,44,37,39,36,37,38,38,16,41,36,39,32,31,28,30,37,11,42,26,1,31,28,35,10,10,1,6,42,37,38,32,4,29,4,0,20,36,5,24,30,14,43,27,34,38,4,38,35,19,43,24,42,35,39,8,5,44,27,9,9
"1990",11,17,34,24,7,5,1,13,18,12,5,46,18,18,23,23,8,19,19,26,9,14,17,24,17,19,16,17,18,18,4,21,16,19,12,11,8,10,17,9,22,6,19,11,8,15,30,10,21,26,22,17,18,12,24,9,16,20,0,16,15,4,10,6,23,7,14,18,24,18,15,1,23,4,22,15,19,12,15,24,7,29,11
"2006",5,1,50,8,9,11,15,3,2,4,11,62,2,34,7,7,8,3,35,10,25,2,1,8,1,3,0,1,2,2,20,5,0,3,4,5,8,6,1,25,6,10,35,5,8,1,46,26,37,42,6,1,2,4,40,7,32,36,16,0,31,12,6,22,7,9,2,2,40,2,1,17,7,12,6,1,3,28,31,8,9,45,27
"1975",26,32,19,39,22,20,16,28,33,27,20,31,33,3,38,38,23,34,4,41,6,29,32,39,32,34,31,32,33,33,11,36,31,34,27,26,23,25,32,6,37,21,4,26,23,30,15,5,6,11,37,32,33,27,9,24,1,5,15,31,0,19,25,9,38,22,29,33,9,33,30,14,38,19,37,30,34,3,0,39,22,14,4
"1994",7,13,38,20,3,1,3,9,14,8,1,50,14,22,19,19,4,15,23,22,13,10,13,20,13,15,12,13,14,14,8,17,12,15,8,7,4,6,13,13,18,2,23,7,4,11,34,14,25,30,18,13,14,8,28,5,20,24,4,12,19,0,6,10,19,3,10,14,28,14,11,5,19,0,18,11,15,16,19,20,3,33,15
"2000",1,7,44,14,3,5,9,3,8,2,5,56,8,28,13,13,2,9,29,16,19,4,7,14,7,9,6,7,8,8,14,11,6,9,2,1,2,0,7,19,12,4,29,1,2,5,40,20,31,36,12,7,8,2,34,1,26,30,10,6,25,6,0,16,13,3,4,8,34,8,5,11,13,6,12,5,9,22,25,14,3,39,21
"1984",17,23,28,30,13,11,7,19,24,18,11,40,24,12,29,29,14,25,13,32,3,20,23,30,23,25,22,23,24,24,2,27,22,25,18,17,14,16,23,3,28,12,13,17,14,21,24,4,15,20,28,23,24,18,18,15,10,14,6,22,9,10,16,0,29,13,20,24,18,24,21,5,29,10,28,21,25,6,9,30,13,23,5
"2013",12,6,57,1,16,18,22,10,5,11,18,69,5,41,0,0,15,4,42,3,32,9,6,1,6,4,7,6,5,5,27,2,7,4,11,12,15,13,6,32,1,17,42,12,15,8,53,33,44,49,1,6,5,11,47,14,39,43,23,7,38,19,13,29,0,16,9,5,47,5,8,24,0,19,1,8,4,35,38,1,16,52,34
"1997",4,10,41,17,0,2,6,6,11,5,2,53,11,25,16,16,1,12,26,19,16,7,10,17,10,12,9,10,11,11,11,14,9,12,5,4,1,3,10,16,15,1,26,4,1,8,37,17,28,33,15,10,11,5,31,2,23,27,7,9,22,3,3,13,16,0,7,11,31,11,8,8,16,3,15,8,12,19,22,17,0,36,18
"2004",3,3,48,10,7,9,13,1,4,2,9,60,4,32,9,9,6,5,33,12,23,0,3,10,3,5,2,3,4,4,18,7,2,5,2,3,6,4,3,23,8,8,33,3,6,1,44,24,35,40,8,3,4,2,38,5,30,34,14,2,29,10,4,20,9,7,0,4,38,4,1,15,9,10,8,1,5,26,29,10,7,43,25
"2008",7,1,52,6,11,13,17,5,0,6,13,64,0,36,5,5,10,1,37,8,27,4,1,6,1,1,2,1,0,0,22,3,2,1,6,7,10,8,1,27,4,12,37,7,10,3,48,28,39,44,4,1,0,6,42,9,34,38,18,2,33,14,8,24,5,11,4,0,42,0,3,19,5,14,4,3,1,30,33,6,11,47,29
"1966",35,41,10,48,31,29,25,37,42,36,29,22,42,6,47,47,32,43,5,50,15,38,41,48,41,43,40,41,42,42,20,45,40,43,36,35,32,34,41,15,46,30,5,35,32,39,6,14,3,2,46,41,42,36,0,33,8,4,24,40,9,28,34,18,47,31,38,42,0,42,39,23,47,28,46,39,43,12,9,48,31,5,13
"2008",7,1,52,6,11,13,17,5,0,6,13,64,0,36,5,5,10,1,37,8,27,4,1,6,1,1,2,1,0,0,22,3,2,1,6,7,10,8,1,27,4,12,37,7,10,3,48,28,39,44,4,1,0,6,42,9,34,38,18,2,33,14,8,24,5,11,4,0,42,0,3,19,5,14,4,3,1,30,33,6,11,47,29
"2005",4,2,49,9,8,10,14,2,3,3,10,61,3,33,8,8,7,4,34,11,24,1,2,9,2,4,1,2,3,3,19,6,1,4,3,4,7,5,2,24,7,9,34,4,7,0,45,25,36,41,7,2,3,3,39,6,31,35,15,1,30,11,5,21,8,8,1,3,39,3,0,16,8,11,7,0,4,27,30,9,8,44,26
"1989",12,18,33,25,8,6,2,14,19,13,6,45,19,17,24,24,9,20,18,27,8,15,18,25,18,20,17,18,19,19,3,22,17,20,13,12,9,11,18,8,23,7,18,12,9,16,29,9,20,25,23,18,19,13,23,10,15,19,1,17,14,5,11,5,24,8,15,19,23,19,16,0,24,5,23,16,20,11,14,25,8,28,10
"2013",12,6,57,1,16,18,22,10,5,11,18,69,5,41,0,0,15,4,42,3,32,9,6,1,6,4,7,6,5,5,27,2,7,4,11,12,15,13,6,32,1,17,42,12,15,8,53,33,44,49,1,6,5,11,47,14,39,43,23,7,38,19,13,29,0,16,9,5,47,5,8,24,0,19,1,8,4,35,38,1,16,52,34
"1994",7,13,38,20,3,1,3,9,14,8,1,50,14,22,19,19,4,15,23,22,13,10,13,20,13,15,12,13,14,14,8,17,12,15,8,7,4,6,13,13,18,2,23,7,4,11,34,14,25,30,18,13,14,8,28,5,20,24,4,12,19,0,6,10,19,3,10,14,28,14,11,5,19,0,18,11,15,16,19,20,3,33,15
"2012",11,5,56,2,15,17,21,9,4,10,17,68,4,40,1,1,14,3,41,4,31,8,5,2,5,3,6,5,4,4,26,1,6,3,10,11,14,12,5,31,0,16,41,11,14,7,52,32,43,48,0,5,4,10,46,13,38,42,22,6,37,18,12,28,1,15,8,4,46,4,7,23,1,18,0,7,3,34,37,2,15,51,33
"2005",4,2,49,9,8,10,14,2,3,3,10,61,3,33,8,8,7,4,34,11,24,1,2,9,2,4,1,2,3,3,19,6,1,4,3,4,7,5,2,24,7,9,34,4,7,0,45,25,36,41,7,2,3,3,39,6,31,35,15,1,30,11,5,21,8,8,1,3,39,3,0,16,8,11,7,0,4,27,30,9,8,44,26
"2009",8,2,53,5,12,14,18,6,1,7,14,65,1,37,4,4,11,0,38,7,28,5,2,5,2,0,3,2,1,1,23,2,3,0,7,8,11,9,2,28,3,13,38,8,11,4,49,29,40,45,3,2,1,7,43,10,35,39,19,3,34,15,9,25,4,12,5,1,43,1,4,20,4,15,3,4,0,31,34,5,12,48,30
"1978",23,29,22,36,19,17,13,25,30,24,17,34,30,6,35,35,20,31,7,38,3,26,29,36,29,31,28,29,30,30,8,33,28,31,24,23,20,22,29,3,34,18,7,23,20,27,18,2,9,14,34,29,30,24,12,21,4,8,12,28,3,16,22,6,35,19,26,30,12,30,27,11,35,16,34,27,31,0,3,36,19,17,1
"1975",26,32,19,39,22,20,16,28,33,27,20,31,33,3,38,38,23,34,4,41,6,29,32,39,32,34,31,32,33,33,11,36,31,34,27,26,23,25,32,6,37,21,4,26,23,30,15,5,6,11,37,32,33,27,9,24,1,5,15,31,0,19,25,9,38,22,29,33,9,33,30,14,38,19,37,30,34,3,0,39,22,14,4
"2014",13,7,58,0,17,19,23,11,6,12,19,70,6,42,1,1,16,5,43,2,33,10,7,0,7,5,8,7,6,6,28,3,8,5,12,13,16,14,7,33,2,18,43,13,16,9,54,34,45,50,2,7,6,12,48,15,40,44,24,8,39,20,14,30,1,17,10,6,48,6,9,25,1,20,2,9,5,36,39,0,17,53,35
"1997",4,10,41,17,0,2,6,6,11,5,2,53,11,25,16,16,1,12,26,19,16,7,10,17,10,12,9,10,11,11,11,14,9,12,5,4,1,3,10,16,15,1,26,4,1,8,37,17,28,33,15,10,11,5,31,2,23,27,7,9,22,3,3,13,16,0,7,11,31,11,8,8,16,3,15,8,12,19,22,17,0,36,18
"1961",40,46,5,53,36,34,30,42,47,41,34,17,47,11,52,52,37,48,10,55,20,43,46,53,46,48,45,46,47,47,25,50,45,48,41,40,37,39,46,20,51,35,10,40,37,44,1,19,8,3,51,46,47,41,5,38,13,9,29,45,14,33,39,23,52,36,43,47,5,47,44,28,52,33,51,44,48,17,14,53,36,0,18
"1979",22,28,23,35,18,16,12,24,29,23,16,35,29,7,34,34,19,30,8,37,2,25,28,35,28,30,27,28,29,29,7,32,27,30,23,22,19,21,28,2,33,17,8,22,19,26,19,1,10,15,33,28,29,23,13,20,5,9,11,27,4,15,21,5,34,18,25,29,13,29,26,10,34,15,33,26,30,1,4,35,18,18,0
